#Cas(sec) 	#srazky(mm)	#Vypary(mm)
0	0	0.0000000000
3600	0	0.0000000000
7200	0	0.0000000000
10800	0	0.0000000000
14400	0	0.0000000000
18000	0	0.0000000000
21600	0	0.0000000000
25200	0	0.0000000000
28800	0	0.0000000000
32400	0	0.0000000000
36000	0	0.0000000000
39600	0	0.0000000000
43200	0	0.0000000000
46800	0	0.0000000000
50400	0	0.0000000000
54000	0	0.0000000000
57600	0	0.0000000000
61200	0	0.0000000000
64800	0	0.0000000000
68400	0	0.0000000000
72000	0	0.0000000000
75600	0	0.0000000000
79200	0	0.0000000000
82800	0	0.0000000000
86400	0	-0.0074895700
90000	0	-0.0074895700
93600	0	-0.0074895700
97200	0	-0.0074895700
100800	0	-0.0074895700
104400	0	-0.0074895700
108000	0	-0.0074895700
111600	0	-0.0074895700
115200	0	-0.0074895700
118800	0	-0.0074895700
122400	0	-0.0074895700
126000	0	-0.0074895700
129600	0	-0.0074895700
133200	0.5	-0.0074895700
136800	0.3	-0.0074895700
140400	0.2	-0.0074895700
144000	0.1	-0.0074895700
147600	0	-0.0074895700
151200	0	-0.0074895700
154800	0	-0.0074895700
158400	0	-0.0074895700
162000	0	-0.0074895700
165600	0	-0.0074895700
169200	0	-0.0074895700
172800	0	-0.0233666400
176400	0	-0.0233666400
180000	0	-0.0233666400
183600	0	-0.0233666400
187200	0	-0.0233666400
190800	0	-0.0233666400
194400	0	-0.0233666400
198000	0	-0.0233666400
201600	0	-0.0233666400
205200	0	-0.0233666400
208800	0	-0.0233666400
212400	0	-0.0233666400
216000	0	-0.0233666400
219600	0	-0.0233666400
223200	0	-0.0233666400
226800	0	-0.0233666400
230400	0	-0.0233666400
234000	0	-0.0233666400
237600	0	-0.0233666400
241200	0.1	-0.0233666400
244800	0	-0.0233666400
248400	0	-0.0233666400
252000	0.3	-0.0233666400
255600	0.5	-0.0233666400
259200	0.1	-0.0384478700
262800	0.1	-0.0384478700
266400	0	-0.0384478700
270000	0	-0.0384478700
273600	0	-0.0384478700
277200	0	-0.0384478700
280800	0	-0.0384478700
284400	0	-0.0384478700
288000	0	-0.0384478700
291600	0	-0.0384478700
295200	0.5	-0.0384478700
298800	0.1	-0.0384478700
302400	0	-0.0384478700
306000	0	-0.0384478700
309600	0	-0.0384478700
313200	0.2	-0.0384478700
316800	0.1	-0.0384478700
320400	0	-0.0384478700
324000	0.2	-0.0384478700
327600	0.1	-0.0384478700
331200	0.4	-0.0384478700
334800	0	-0.0384478700
338400	0	-0.0384478700
342000	0	-0.0384478700
345600	1.6	-0.0125804000
349200	0	-0.0125804000
352800	0	-0.0125804000
356400	0.2	-0.0125804000
360000	0.5	-0.0125804000
363600	0.1	-0.0125804000
367200	0	-0.0125804000
370800	0	-0.0125804000
374400	0	-0.0125804000
378000	0	-0.0125804000
381600	0	-0.0125804000
385200	0	-0.0125804000
388800	0	-0.0125804000
392400	0	-0.0125804000
396000	0	-0.0125804000
399600	0	-0.0125804000
403200	0	-0.0125804000
406800	0	-0.0125804000
410400	0	-0.0125804000
414000	0	-0.0125804000
417600	0	-0.0125804000
