					
#					
#	POINT	1	[pressure	head	cm]
#					
#					
#					
#	Obs	Obs	Obs		
0.1	-878	-920		0	
5	-862	-806		0	
10	-859	-791		0.003537318712	
15	-859	-782		0.007074637425	
20	-860	-780		0.007074637425	
25	-861	-783		0.01414927485	
30	-861	-786		0.01414927485	
35	-862	-789		0.01768659356	
40	-862	-791		0.01768659356	
45	-863	-790		0.02122391227	
50	-863	-789		0.02476123099	
55	-863	-789		0.0282985497	
60	-863	-788		0.0282985497	
65	-863	-789		0.0282985497	
70	-863	-789		0.03183586841	
75	-863	-790		0.03183586841	
80	-863	-791		0.03537318712	
85	-863	-792		0.03537318712	
90	-863	-793		0.03537318712	
95	-864	-795		0.03891050584	
100	-864	-796		0.04244782455	
105	-863	-797		0.04598514326	
110	-851	-798		0.04598514326	
115	-795	-800		0.04598514326	
120	-62	-801		0.04952246197	
125	-38.3	-802		0.04952246197	
130	-32.9	-803		0.04952246197	
135	-29.5	-804		0.05305978069	
140	-26.7	-804		0.05305978069	
145	-24.9	-805		0.05305978069	
150	-23.2	-806		0.05305978069	
155	-21.9	-807		0.0565970994	
160	-21	-807		0.0565970994	
165	-20	-808		0.0565970994	
170	-19.1	-809		0.0565970994	
175	-18.3	-809		0.0565970994	
180	-17.6	-810		0.06013441811	
185	-16.9	-808		0.06013441811	
190	-16	-800		0.06013441811	
195	-15.3	-781		0.06367173682	
200	-14.9	-745		0.06367173682	
205	-14.4	-668		0.06367173682	
210	-14.2	-476		0.06367173682	
215	-13.5	-155		0.06367173682	
220	-13.5	-46.7		0.06720905554	
225	-13.2	-35.5		0.06720905554	
230	-13	-31.8		0.06720905554	
235	-13	-29		0.06720905554	
240	-12.4	-26.7		0.06720905554	
245	-12.2	-24.7		0.06720905554	
250	-11.8	-22.8		0.06720905554	
255	-11.1	-20.4		0.06720905554	
260	-10.3	-17.5		0.06720905554	
265	-3.24	0.798		0.06720905554	
270	72.4	-6.11		0.06720905554	
275	-21.7	-18.5		0.07074637425	
280	-22.4	-19.1		0.09197028652	
285	-22.3	-18.8		0.208701804	
290	0.863	-36.3		0.3148213654	
295	0.266	-18.1		0.4209409268	
300	-3.66	-17.1		0.5270604881	
305	-8.26	-16.7		0.6331800495	
310	-11.6	-16.7		0.7392996109	
315	-14.1	-16.8		0.8454191723	
320	-15.2	-16.8		0.9515387336	
325	-15.8	-16.9		1.057658295	
330	-15.3	-16.6		1.163777856	
335	-16	-16.8		1.269897418	
340	-16.1	-16.9		1.376016979	
345	-16.2	-17.1		1.482136541	
350	-16.4	-17.2		1.588256102	
355	-16.1	-17.2		1.694375663	
360	-16.1	-16.9		1.800495225	
365	-16.1	-16.9		1.906614786	
370	-16.1	-16.9		2.012734347	
375	-16.2	-17		2.118853909	
380	-16.2	-17		2.22497347	
385	-16.3	-17.1		2.331093031	
390	-16.4	-17.1		2.437212593	
395	-16.6	-17.3		2.543332154	
400	-16.7	-17.5		2.649451716	
405	-16.4	-17.4		2.755571277	
410	-16.2	-17.2		2.861690838	
415	-16	-17.1		2.9678104	
420	-16.3	-17.2		3.073929961	
425	-16.3	-17.2		3.180049522	
430	-16.3	-17.2		3.286169084	
