# x_utm	y_utm
398367.927	5267000.072
388835.974	5280512.354
392042.978	5298712.302
396681.938	5316369.1
395801.476	5334263.638
404733.175	5351863.033
408897.137	5370155.914
414371.838	5387866.656
426268.607	5401177.985
437197.616	5416487.868
448947.923	5430887.463
455242.069	5450014.62
460049.35	5463600.333
459587.717	5478452.291
456226.514	5495938.706
461638.181	5511009.429
453117.447	5524535.816
446539.648	5541369.642
428011.316	5537658.043
412608.736	5545140.567
403839.574	5559006.226
402012.236	5570842.335
395604.163	5586625.472
380521.174	5595611.216
373588.775	5612141.595
361927.865	5627438.845
360779.116	5639917.535
356440.13	5656059.091
350135.735	5669215.058
341564.628	5677711.726
339804.68	5689999.461
341841.115	5702930.56
337757.61	5716717.707
328518.795	5726350.006
317064.7	5737188.261
301835.579	5748012.753
